subject_ID,lemma,gender,age,education,grade,error
443,worden,male,17,technical,Gr3,0
443,worden,male,17,technical,Gr3,0
443,worden,male,17,technical,Gr3,0
443,worden,male,17,technical,Gr3,0
444,worden,female,18,technical,Gr3,0
445,worden,female,16,technical,Gr2,0
445,worden,female,16,technical,Gr2,0
461,worden,female,18,technical,Gr3,0
466,worden,male,17,general,Gr3,0
478,worden,female,18,general,Gr3,0
480,worden,female,18,technical,Gr3,0
482,worden,female,16,general,Gr2,0
482,worden,female,16,general,Gr2,0
482,worden,female,16,general,Gr2,1
486,worden,female,17,technical,Gr3,0
486,worden,female,16,technical,Gr2,0
488,worden,female,17,technical,Gr3,0
488,worden,female,17,technical,Gr3,0
488,worden,female,17,technical,Gr3,0
491,worden,female,16,general,Gr2,0
494,worden,male,17,general,Gr3,0
496,worden,male,15,technical,Gr2,1
502,worden,female,18,technical,Gr3,1
504,worden,female,16,technical,Gr2,0
505,worden,female,18,technical,Gr3,0
510,worden,male,17,vocational,Gr3,0
511,worden,female,17,general,Gr3,0
511,worden,female,17,general,Gr3,0
528,worden,male,17,technical,Gr3,0
528,worden,male,17,technical,Gr3,0
528,worden,male,17,technical,Gr3,0
530,worden,female,17,technical,Gr3,0
530,worden,female,17,technical,Gr3,0
539,worden,male,15,technical,Gr2,0
539,worden,male,15,technical,Gr2,0
556,worden,female,17,general,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,17,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,18,technical,Gr3,0
563,worden,female,17,technical,Gr3,1
563,worden,female,18,technical,Gr3,1
570,worden,male,18,technical,Gr3,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,17,technical,Gr3,0
